id,text,sound,image,sublevel
p044,a pig pen,,assets/unit_icons/level2/p044.png,P2
p045,a red bus,,assets/unit_icons/level2/p045.png,P2
p046,a big box,,assets/unit_icons/level2/p046.png,P2
p047,a hot pan,,assets/unit_icons/level2/p047.png,P2
p048,a wet rug,,assets/unit_icons/level2/p048.png,P2
p049,a soft bed,,assets/unit_icons/level2/p049.png,P2
p050,a fast run,,assets/unit_icons/level2/p050.png,P2
p051,a ship,,assets/unit_icons/level2/p051.png,P3
p052,a fish,,assets/unit_icons/level2/p052.png,P3
p053,a chat,,assets/unit_icons/level2/p053.png,P3
p054,a chip,,assets/unit_icons/level2/p054.png,P3
p055,thin bath,,assets/unit_icons/level2/p055.png,P3
p056,this shop,,assets/unit_icons/level2/p056.png,P3
p057,ring bell,,assets/unit_icons/level2/p057.png,P3
p058,long song,,assets/unit_icons/level2/p058.png,P3
p059,a quick quiz,,assets/unit_icons/level2/p059.png,P3
p060,a quack,,assets/unit_icons/level2/p060.png,P3
p061,what now,,assets/unit_icons/level2/p061.png,P3
p062,when we,,assets/unit_icons/level2/p062.png,P3
p063,a chin,,assets/unit_icons/level2/p063.png,P3
p064,a cash bag,,assets/unit_icons/level2/p064.png,P3
p065,a thin kid,,assets/unit_icons/level2/p065.png,P3
p066,a shell,,assets/unit_icons/level2/p066.png,P3
p067,a thick rug,,assets/unit_icons/level2/p067.png,P3
p068,a shut lid,,assets/unit_icons/level2/p068.png,P3
p069,a chill wind,,assets/unit_icons/level2/p069.png,P3
p070,a lunch box,,assets/unit_icons/level2/p070.png,P3
p071,shop closed,,assets/unit_icons/level2/p071.png,P3
p072,fish dish,,assets/unit_icons/level2/p072.png,P3
p073,ship in,,assets/unit_icons/level2/p073.png,P3
p074,chip dip,,assets/unit_icons/level2/p074.png,P3
p075,thin and,,assets/unit_icons/level2/p075.png,P3
p076,quick run,,assets/unit_icons/level2/p076.png,P3
p077,whip fast,,assets/unit_icons/level2/p077.png,P3
p078,when done,,assets/unit_icons/level2/p078.png,P3
p079,which one,,assets/unit_icons/level2/p079.png,P3
p080,that song,,assets/unit_icons/level2/p080.png,P3
p081,stop now,,assets/unit_icons/level2/p081.png,P4
p082,step back,,assets/unit_icons/level2/p082.png,P4
p083,spin fast,,assets/unit_icons/level2/p083.png,P4
p084,frog hop,,assets/unit_icons/level2/p084.png,P4
p085,flag up,,assets/unit_icons/level2/p085.png,P4
p086,clap hands,,assets/unit_icons/level2/p086.png,P4
p087,clip it,,assets/unit_icons/level2/p087.png,P4
p088,grab it,,assets/unit_icons/level2/p088.png,P4
p089,trip down,,assets/unit_icons/level2/p089.png,P4
p090,plan well,,assets/unit_icons/level2/p090.png,P4
p091,milk and,,assets/unit_icons/level2/p091.png,P4
p092,hand in,,assets/unit_icons/level2/p092.png,P4
p093,best gift,,assets/unit_icons/level2/p093.png,P4
p094,soft mask,,assets/unit_icons/level2/p094.png,P4
p095,help me,,assets/unit_icons/level2/p095.png,P4
p096,jump high,,assets/unit_icons/level2/p096.png,P4
p097,bump it,,assets/unit_icons/level2/p097.png,P4
p098,wind gust,,assets/unit_icons/level2/p098.png,P4
p099,bank test,,assets/unit_icons/level2/p099.png,P4
p100,tent camp,,assets/unit_icons/level2/p100.png,P4
p101,a fast crab,,assets/unit_icons/level2/p101.png,P4
p102,a red flag,,assets/unit_icons/level2/p102.png,P4
p103,a soft lamp,,assets/unit_icons/level2/p103.png,P4
p104,a fresh plum,,assets/unit_icons/level2/p104.png,P4
p105,a grand plan,,assets/unit_icons/level2/p105.png,P4
p106,a strong grip,,assets/unit_icons/level2/p106.png,P4
p107,a quick clap,,assets/unit_icons/level2/p107.png,P4
p108,a small pond,,assets/unit_icons/level2/p108.png,P4
p109,a damp nest,,assets/unit_icons/level2/p109.png,P4
p110,a brisk wind,,assets/unit_icons/level2/p110.png,P4
p111,my bike,,assets/unit_icons/level2/p111.png,P5
p112,ride home,,assets/unit_icons/level2/p112.png,P5
p113,home safe,,assets/unit_icons/level2/p113.png,P5
p114,rain day,,assets/unit_icons/level2/p114.png,P5
p115,play time,,assets/unit_icons/level2/p115.png,P5
p116,see me,,assets/unit_icons/level2/p116.png,P5
p117,green tree,,assets/unit_icons/level2/p117.png,P5
p118,meat pie,,assets/unit_icons/level2/p118.png,P5
p119,boat ride,,assets/unit_icons/level2/p119.png,P5
p120,snow day,,assets/unit_icons/level2/p120.png,P5
p121,blue moon,,assets/unit_icons/level2/p121.png,P5
p122,food box,,assets/unit_icons/level2/p122.png,P5
p123,book bag,,assets/unit_icons/level2/p123.png,P5
p124,coin toss,,assets/unit_icons/level2/p124.png,P5
p125,toy shop,,assets/unit_icons/level2/p125.png,P5
p126,shout loud,,assets/unit_icons/level2/p126.png,P5
p127,cow down,,assets/unit_icons/level2/p127.png,P5
p128,star light,,assets/unit_icons/level2/p128.png,P5
p129,car park,,assets/unit_icons/level2/p129.png,P5
p130,bird song,,assets/unit_icons/level2/p130.png,P5
p131,turn now,,assets/unit_icons/level2/p131.png,P5
p132,fern bed,,assets/unit_icons/level2/p132.png,P5
p133,storm cloud,,assets/unit_icons/level2/p133.png,P5
p134,chair here,,assets/unit_icons/level2/p134.png,P5
p135,clear day,,assets/unit_icons/level2/p135.png,P5
p136,rope line,,assets/unit_icons/level2/p136.png,P5
p137,cute mule,,assets/unit_icons/level2/p137.png,P5
p138,time to,,assets/unit_icons/level2/p138.png,P5
p139,stay home,,assets/unit_icons/level2/p139.png,P5
p140,grow slow,,assets/unit_icons/level2/p140.png,P5
p141,picnic time,,assets/unit_icons/level2/p141.png,P6
p142,sunset view,,assets/unit_icons/level2/p142.png,P6
p143,rabbit hop,,assets/unit_icons/level2/p143.png,P6
p144,kitten nap,,assets/unit_icons/level2/p144.png,P6
p145,music class,,assets/unit_icons/level2/p145.png,P6
p146,market day,,assets/unit_icons/level2/p146.png,P6
p147,pocket money,,assets/unit_icons/level2/p147.png,P6
p148,rocket ship,,assets/unit_icons/level2/p148.png,P6
p149,winter camp,,assets/unit_icons/level2/p149.png,P6
p150,summer trip,,assets/unit_icons/level2/p150.png,P6
